x | y | solid | n | e | s | w
0 | 0 | path | f | t | t | t
0 | 1 | path | f | t | f | t
0 | 2 | path | f | f | f | t
0 | 3 | path | f | t | f | t
0 | 4 | path | f | t | f | t
0 | 5 | path | f | f | f | t
0 | 6 | path | t | f | f | t
0 | 7 | path | f | t | t | t
0 | 8 | path | f | t | f | t
0 | 9 | path | t | f | f | t
0 | 10 | path | f | t | t | t
0 | 11 | path | t | f | f | t
0 | 12 | path | f | t | t | t
0 | 13 | path | f | f | f | t
0 | 14 | path | f | t | f | t
0 | 15 | path | f | t | f | t
0 | 16 | path | f | t | f | t
0 | 17 | path | f | t | f | t
0 | 18 | path | f | t | f | t
0 | 19 | path | t | f | f | t
1 | 0 | path | t | f | t | t
1 | 1 | path | f | t | t | t
1 | 2 | path | t | t | f | f
1 | 3 | path | t | f | t | t
1 | 4 | path | f | f | t | t
1 | 5 | path | t | t | f | f
1 | 6 | path | f | t | t | f
1 | 7 | path | f | t | f | t
1 | 8 | path | t | f | f | t
1 | 9 | path | f | t | t | f
1 | 10 | path | f | t | f | t
1 | 11 | path | t | f | f | f
1 | 12 | path | f | f | t | t
1 | 13 | path | f | t | f | f
1 | 14 | path | f | t | f | t
1 | 15 | path | f | t | f | t
1 | 16 | path | f | t | f | t
1 | 17 | path | f | t | f | t
1 | 18 | path | t | f | f | t
1 | 19 | path | t | f | t | f
2 | 0 | path | t | f | t | f
2 | 1 | path | f | f | t | t
2 | 2 | path | f | t | f | t
2 | 3 | path | t | t | f | f
2 | 4 | path | t | f | t | f
2 | 5 | path | f | f | t | t
2 | 6 | path | f | t | f | t
2 | 7 | path | t | f | f | t
2 | 8 | path | f | t | t | f
2 | 9 | path | f | t | f | t
2 | 10 | path | t | t | f | t
2 | 11 | path | t | f | t | f
2 | 12 | path | f | f | t | f
2 | 13 | path | f | t | f | t
2 | 14 | path | f | t | f | t
2 | 15 | path | t | f | f | t
2 | 16 | path | f | f | t | t
2 | 17 | path | f | t | f | t
2 | 18 | path | t | t | f | f
2 | 19 | path | t | f | t | f
3 | 0 | path | t | f | t | f
3 | 1 | path | t | f | t | f
3 | 2 | path | f | t | t | t
3 | 3 | path | t | f | f | t
3 | 4 | path | f | f | t | f
3 | 5 | path | f | t | f | f
3 | 6 | path | t | f | f | t
3 | 7 | path | f | t | t | f
3 | 8 | path | f | t | f | t
3 | 9 | path | f | t | f | t
3 | 10 | path | t | f | f | t
3 | 11 | path | t | f | t | f
